ID,Name,TeamName,Role
495,★ ⑳ FURQE,9z Academy,
496,★ ⑳ fREQ,BD.ECHO,
497,★ ⑳ KAISER,9z Academy,
498,★ ⑳ t9rnay,BD.ECHO,
499,★ ⑳ redmor,9z Academy,
500,★ ⑳ buda,9z Academy,
501,★ ⑳ GYZER*,BD.ECHO,
502,★ ⑳ seams,Wygers Juniors,
503,★ ⑳ guru J,NK e-Sports,
504,★ ⑳ natszu ♥,Wygers Juniors,
505,★ ⑳ Ax1Le,Wygers Juniors,
506,★ ⑳ blade_____k,NK e-Sports,
507,★ ⑳ Perpetuo,Wygers Juniors,
508,★ ⑳ luke,NK e-Sports,
509,★ ⑳ zrx,Wygers Juniors,
510,★ ⑳ KnoX,NK e-Sports,
511,★ ⑳ urban0-,NK e-Sports,
512,★ ⑳ Sgt. Pepper,Uranus Gaming,
513,★ ⑳ DrewiiD,CSA eSports,
514,★ ⑳ Romarin,Uranus Gaming,
515,★ ⑳ NoA,CSA eSports,
516,★ ⑳ Aiz9n,CSA eSports,
517,★ ⑳ m4ir,CSA eSports,
518,★ ⑳ jh0nny,Uranus Gaming,
519,★ ⑳ CONNECT,CSA eSports,
520,★ ⑳ Uran.MURALHA,Uranus Gaming,
521,★ ⑳ r1ck,Uranus Gaming,
522,★ ⑳ dukka,INTZ,
523,★ ⑳ brn$,KG Academy,
524,★ ⑳ chara *LogitechG,INTZ,
525,★ ⑳ parEdao[9],INTZ,
526,★ ⑳ antonini,KG Academy,
527,★ ⑳ guZERA,INTZ,
528,★ ⑳ LzBK,KG Academy,
529,★ ⑳ FFFELIPINHO1F,KG Academy,
530,★ ⑳ paiva,INTZ,
531,★ ⑳ pedrinzy,KG Academy,
532,★ ⑳ divine,GSTFAMILY,
533,★ ⑳ CHA,SUGOI! e-Sports,
534,★ ⑳ guihhzo,GSTFAMILY,
535,★ ⑳ CPX,SUGOI! e-Sports,
536,★ ⑳ ruizz,SUGOI! e-Sports,
537,★ ⑳ PACxM4N,GSTFAMILY,
